latitude,longitude,population
20.6001389,-100.4476389,7.292851
20.6018056,-100.44875,7.292851
20.5981944,-100.4440278,7.292851
20.6001389,-100.4454167,7.292851
20.5990278,-100.44625,7.292851
20.5993056,-100.4443056,7.292851
20.6040278,-100.4518056,7.292851
20.5993056,-100.4484722,7.292851
20.6018056,-100.4476389,7.292851
20.59625,-100.4429167,7.292851
20.6006944,-100.44625,7.292851
20.6004167,-100.4484722,7.292851
20.6009722,-100.4451389,7.292851
20.6031944,-100.4484722,7.292851
20.6009722,-100.44875,7.292851
20.5981944,-100.4454167,7.292851
20.6029167,-100.4479167,7.292851
20.6031944,-100.4518056,7.292851
20.5998611,-100.4518056,7.292851
20.60125,-100.4451389,7.292851
20.6004167,-100.4515278,7.292851
20.5970833,-100.4434722,7.292851
20.5990278,-100.4473611,7.292851
20.60125,-100.4506944,7.292851
20.60125,-100.4520833,7.292851
20.6004167,-100.4518056,7.292851
20.5979167,-100.4440278,7.292851
20.5990278,-100.4456944,7.292851
20.5976389,-100.4429167,7.292851
20.5998611,-100.4479167,7.292851
20.6034722,-100.45125,7.292851
20.5981944,-100.4484722,7.292851
20.6015278,-100.4490278,7.292851
20.6020833,-100.4520833,7.292851
20.5995833,-100.4484722,7.292851
20.6001389,-100.4520833,7.292851
20.6026389,-100.4468056,7.292851
20.6009722,-100.4459722,7.292851
20.5984722,-100.4473611,7.292851
20.60125,-100.4431944,7.292851
20.6001389,-100.4470833,7.292851
20.6029167,-100.4451389,7.292851
20.5990278,-100.4476389,7.292851
20.6006944,-100.4509722,7.292851
20.5998611,-100.4523611,7.292851
20.6026389,-100.4448611,7.292851
20.59875,-100.4468056,7.292851
20.6018056,-100.4426389,7.292851
20.6006944,-100.4448611,7.292851
20.6001389,-100.4515278,7.292851
20.5993056,-100.4481944,7.292851
20.5976389,-100.4431944,7.292851
20.60125,-100.4429167,7.292851
20.5979167,-100.4476389,7.292851
20.5998611,-100.4515278,7.292851
20.5998611,-100.4490278,7.292851
20.6031944,-100.4443056,7.292851
20.5981944,-100.4465278,7.292851
20.6009722,-100.45125,7.292851
20.5970833,-100.4440278,7.292851
20.6023611,-100.4520833,7.292851
20.6006944,-100.44875,7.292851
20.6020833,-100.4506944,7.292851
20.6020833,-100.4431944,7.292851
20.6018056,-100.4470833,7.292851
20.6004167,-100.4498611,7.292851
20.6026389,-100.4445833,7.292851
20.6031944,-100.4451389,7.292851
18.5168056,-98.60625,6.364341
18.5090278,-98.6104167,6.364341
18.51625,-98.6054167,6.364341
18.5165278,-98.60625,6.364341
18.5170833,-98.6043056,6.364341
18.5154167,-98.6054167,6.364341
18.5104167,-98.6090278,6.364341
18.5179167,-98.6059722,6.364341
18.5165278,-98.6056944,6.364341
18.5159722,-98.60625,6.364341
18.5176389,-98.6048611,6.364341
18.5084722,-98.61125,6.364341
18.5093056,-98.6109722,6.364341
18.5173611,-98.6051389,6.364341
18.51375,-98.60625,6.364341
18.5090278,-98.61125,6.364341
18.5143056,-98.6068056,6.364341
18.5129167,-98.6076389,6.364341
18.50875,-98.6118056,6.364341
18.5151389,-98.6059722,6.364341
18.5145833,-98.6056944,6.364341
18.5120833,-98.6076389,6.364341
